name,aperture,DockingX,DockingY,DockingZ,DockNormalX,DockNormalY,DockNormalZ
,,,,,,,
KS4,101.6,20.115,0,-72.4,0,0,1
,,,,,,,
POLARIS-K05,12.7,12.5,0,-12.7,0,0,1
,,,,,,,
KM05_M,12.7,11.3,0,-14.7,0,0,1
,,,,,,,
KM05CP_M,12.7,0.2,0,-21.1,0,0,1
,,,,,,,
POLARIS-K1,25.4,16,0,-25.4,0,0,1
,,,,,,,
KM100CP_M,25.4,1,0,-31.8,0,0,1
,,,,,,,
KS1,25.4,14.8,0,-25.4,0,0,1
,,,,,,,
POLARIS-K15S4,38.1,15.3,0,-31.8,0,0,1
,,,,,,,
POLARIS-K15VS2,38.1,15.3,0,-31.8,0,0,1
,,,,,,,
POLARIS-K2,50.8,21.3,0,-35.6,0,0,1
,,,,,,,
KS2,50.8,17.3,0,-39.6,0,0,1
,,,,,,,
KM200CP_M,50.8,-0.5,0,-47,0,0,1
,,,,,,,
POLARIS-K3S5,76.2,21.8,0,-50.8,0,0,1
,,,,,,,
KS3,76.2,19.75,0,-54.1,0,0,1
,,,,,,,
KMSS,4,12.86,0,-15.88,0,0,1
