name,aperture,DockingX,DockingY,DockingZ,DockNormalX,DockNormalY,DockNormalZ,color
,,,,,,,,
Stripe_mirror_mount,50.8,-1,104.3,0,-1,0,0,"0.75,0.75,0.75"
,,,,,,,,
Rooftop_mirror_mount,50.8,38,0,-5,1,0,0,"0.75,0.75,0.75"
,,,,,,,,
H45,25.4,13,11.5,0,0.70710678,0.70710678,0,"0.75,0.75,0.75"
,,,,,,,,
H45CN,50.8,23,21,0,0.70710678,0.70710678,0,"0.75,0.75,0.75"
,,,,,,,,
lambda_mirror_mount,12.7,3,0,-33.35,0,0,1,"0.75,0.75,0.75"
,,,,,,,,
56_degree_mounts,25.4,21,25.5,0,0.559192903,0.82903757,0,"0.75,0.75,0.75"
,,,,,,,,
65_degree_mounts,25.4,17,28.5,0,0.422618262,0.906307787,0,"0.75,0.75,0.75"
